MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name,Unnamed: 0,pricePerHr,pricePerS,Iops,Memory
flights-m80,Azure,128,32,1M,0,0,stringSearch_firstName,1.551421880722046,0.008502653807401657,,126.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,1,stringSearch_firstName,1.2225160598754885,0.006700067183706497,,127.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,1,1,stringSearch_firstName,1.106036901473999,0.006061696685022778,,128.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,0,stringSearch_firstName,1.5445683002471924,0.008465092378854752,,129.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,1,stringSearch_firstName,1.1786203384399414,0.006459494243727789,,130.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,1,1,stringSearch_firstName,1.1490707397460938,0.006297546026441786,,131.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,0,stringSearch_firstName,1.5656795501708984,0.008580793756908841,,132.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,1,stringSearch_firstName,1.1121294498443604,0.006095087234841453,,133.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,1,1,stringSearch_firstName,1.1271896362304688,0.006177625423007541,,134.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,0,stringSearch_firstName,11.850200414657593,0.06494568171699841,,135.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,1,stringSearch_firstName,6.365541696548462,0.034886704909139206,,136.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,1,1,stringSearch_firstName,1.1409220695495603,0.006252886786725784,,137.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,0,stringSearch_firstName,11.86026406288147,0.06500083610018094,,138.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,1,stringSearch_firstName,6.36788821220398,0.03489956511855126,,139.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,1,1,stringSearch_firstName,1.163783073425293,0.006378177788522508,,140.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,0,stringSearch_firstName,11.846960067749023,0.06492792281574673,,141.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,1,stringSearch_firstName,6.31580376625061,0.03461411341892348,,142.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,1,1,stringSearch_firstName,1.1538755893707275,0.006323879271745682,,143.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,0,stringSearch_firstName,11.80564832687378,0.06470151152478323,,144.0,19.73,0.005480555555555555,1100,256
